image_id,image_patch,mask_patch,label_vrai,label_rgb,moyenne_R,moyenne_G,moyenne_B
1,patches\real\001_000.png,patches\mask\001_000.png,0,0,21.63,27.9,23.38
1,patches\real\001_001.png,patches\mask\001_001.png,0,0,34.95,49.86,34.68
1,patches\real\001_002.png,patches\mask\001_002.png,0,0,26.64,35.42,29.21
1,patches\real\001_003.png,patches\mask\001_003.png,0,0,25.74,32.73,28.78
1,patches\real\001_004.png,patches\mask\001_004.png,0,0,17.82,21.6,23.34
1,patches\real\001_005.png,patches\mask\001_005.png,0,0,15.01,18.46,19.05
1,patches\real\001_006.png,patches\mask\001_006.png,0,0,21.46,28.78,25.35
1,patches\real\001_007.png,patches\mask\001_007.png,0,0,51.57,55.89,42.88
1,patches\real\001_008.png,patches\mask\001_008.png,0,1,128.06,109.95,79.89
1,patches\real\001_009.png,patches\mask\001_009.png,0,0,79.59,81.89,61.2
1,patches\real\001_010.png,patches\mask\001_010.png,0,0,27.55,41.45,30.83
1,patches\real\001_011.png,patches\mask\001_011.png,0,0,21.91,29.96,25.48
1,patches\real\001_012.png,patches\mask\001_012.png,0,0,16.59,19.45,20.49
1,patches\real\001_013.png,patches\mask\001_013.png,0,0,17.0,20.49,21.26
1,patches\real\001_014.png,patches\mask\001_014.png,0,0,18.86,23.22,22.13
1,patches\real\001_015.png,patches\mask\001_015.png,0,0,20.95,30.13,25.87
1,patches\real\001_016.png,patches\mask\001_016.png,0,0,14.0,18.0,16.76
1,patches\real\001_017.png,patches\mask\001_017.png,0,0,18.37,22.88,22.14
1,patches\real\001_018.png,patches\mask\001_018.png,0,0,14.56,16.79,16.72
1,patches\real\001_019.png,patches\mask\001_019.png,0,0,15.47,18.72,19.63
1,patches\real\001_020.png,patches\mask\001_020.png,0,0,21.18,28.7,24.66
1,patches\real\001_021.png,patches\mask\001_021.png,0,0,27.06,42.95,29.24
1,patches\real\001_022.png,patches\mask\001_022.png,0,0,33.43,56.8,35.54
1,patches\real\001_023.png,patches\mask\001_023.png,1,1,103.83,85.48,58.99
1,patches\real\001_024.png,patches\mask\001_024.png,1,1,169.84,121.2,85.59
1,patches\real\001_025.png,patches\mask\001_025.png,1,1,117.45,82.07,56.77
1,patches\real\001_026.png,patches\mask\001_026.png,0,0,31.13,36.62,30.83
1,patches\real\001_027.png,patches\mask\001_027.png,0,0,14.91,18.79,19.2
1,patches\real\001_028.png,patches\mask\001_028.png,0,0,22.86,32.33,27.98
1,patches\real\001_029.png,patches\mask\001_029.png,0,0,24.23,35.84,29.62
1,patches\real\001_030.png,patches\mask\001_030.png,0,0,18.35,22.02,22.26
1,patches\real\001_031.png,patches\mask\001_031.png,0,0,20.32,27.85,24.78
1,patches\real\001_032.png,patches\mask\001_032.png,0,0,14.27,15.84,15.23
1,patches\real\001_033.png,patches\mask\001_033.png,0,0,14.3,17.3,16.34
