image_id,image_patch,mask_patch,label_hsv,alpha_hsv,alpha_norm,beta_hsv
1,patches\real\001_000.png,patches\mask\001_000.png,0,-1.0,-1.0,-1.0
1,patches\real\001_001.png,patches\mask\001_001.png,0,-1.0,-1.0,-1.0
1,patches\real\001_002.png,patches\mask\001_002.png,0,-1.0,-1.0,-1.0
1,patches\real\001_003.png,patches\mask\001_003.png,0,-1.0,-1.0,-1.0
1,patches\real\001_004.png,patches\mask\001_004.png,0,-1.0,-1.0,-1.0
1,patches\real\001_005.png,patches\mask\001_005.png,0,-1.0,-1.0,-1.0
1,patches\real\001_006.png,patches\mask\001_006.png,0,-1.0,-1.0,-1.0
1,patches\real\001_007.png,patches\mask\001_007.png,0,-1.0,-1.0,-1.0
1,patches\real\001_008.png,patches\mask\001_008.png,1,19.249686872614866,0.08944653700112501,0.910553462998875
1,patches\real\001_009.png,patches\mask\001_009.png,0,-1.0,-1.0,-1.0
1,patches\real\001_010.png,patches\mask\001_010.png,0,-1.0,-1.0,-1.0
1,patches\real\001_011.png,patches\mask\001_011.png,0,-1.0,-1.0,-1.0
1,patches\real\001_012.png,patches\mask\001_012.png,0,-1.0,-1.0,-1.0
1,patches\real\001_013.png,patches\mask\001_013.png,0,-1.0,-1.0,-1.0
1,patches\real\001_014.png,patches\mask\001_014.png,0,-1.0,-1.0,-1.0
1,patches\real\001_015.png,patches\mask\001_015.png,0,-1.0,-1.0,-1.0
1,patches\real\001_016.png,patches\mask\001_016.png,0,-1.0,-1.0,-1.0
1,patches\real\001_017.png,patches\mask\001_017.png,0,-1.0,-1.0,-1.0
1,patches\real\001_018.png,patches\mask\001_018.png,0,-1.0,-1.0,-1.0
1,patches\real\001_019.png,patches\mask\001_019.png,0,-1.0,-1.0,-1.0
1,patches\real\001_020.png,patches\mask\001_020.png,0,-1.0,-1.0,-1.0
1,patches\real\001_021.png,patches\mask\001_021.png,0,-1.0,-1.0,-1.0
1,patches\real\001_022.png,patches\mask\001_022.png,0,-1.0,-1.0,-1.0
1,patches\real\001_023.png,patches\mask\001_023.png,1,42.50233742015808,0.2094730110973034,0.7905269889026966
1,patches\real\001_024.png,patches\mask\001_024.png,1,-1.0,-1.0,-1.0
1,patches\real\001_025.png,patches\mask\001_025.png,1,36.37768991652124,0.17785855736264472,0.8221414426373552
1,patches\real\001_026.png,patches\mask\001_026.png,0,-1.0,-1.0,-1.0
1,patches\real\001_027.png,patches\mask\001_027.png,0,-1.0,-1.0,-1.0
1,patches\real\001_028.png,patches\mask\001_028.png,0,-1.0,-1.0,-1.0
1,patches\real\001_029.png,patches\mask\001_029.png,0,-1.0,-1.0,-1.0
1,patches\real\001_030.png,patches\mask\001_030.png,0,-1.0,-1.0,-1.0
