image_id,image_patch,mask_patch,label_vrai,label_rgb,moyenne_R,moyenne_G,moyenne_B
1,patches\real\001_000.png,patches\mask\001_000.png,0,1,138.99,115.5,64.5
1,patches\real\001_001.png,patches\mask\001_001.png,0,1,139.09,115.71,64.69
1,patches\real\001_002.png,patches\mask\001_002.png,0,1,139.59,116.28,65.27
1,patches\real\001_003.png,patches\mask\001_003.png,0,1,139.72,116.25,65.26
1,patches\real\001_004.png,patches\mask\001_004.png,0,1,139.94,116.5,65.42
1,patches\real\001_005.png,patches\mask\001_005.png,0,1,139.75,116.02,64.99
1,patches\real\001_006.png,patches\mask\001_006.png,0,1,139.68,115.94,64.81
1,patches\real\001_007.png,patches\mask\001_007.png,0,1,139.11,115.17,64.14
1,patches\real\001_008.png,patches\mask\001_008.png,0,1,139.03,115.03,63.9
1,patches\real\001_009.png,patches\mask\001_009.png,0,1,138.17,114.18,63.16
1,patches\real\001_010.png,patches\mask\001_010.png,0,1,137.77,113.76,62.77
1,patches\real\001_011.png,patches\mask\001_011.png,0,1,137.64,113.65,62.64
1,patches\real\001_012.png,patches\mask\001_012.png,0,1,137.76,113.77,62.76
1,patches\real\001_013.png,patches\mask\001_013.png,0,1,137.49,113.46,62.46
1,patches\real\001_014.png,patches\mask\001_014.png,0,1,121.51,95.48,48.03
1,patches\real\001_015.png,patches\mask\001_015.png,0,1,101.83,73.69,34.5
1,patches\real\001_016.png,patches\mask\001_016.png,0,1,139.18,116.01,65.19
1,patches\real\001_017.png,patches\mask\001_017.png,0,1,139.6,116.77,66.06
1,patches\real\001_018.png,patches\mask\001_018.png,0,1,139.77,116.61,65.6
1,patches\real\001_019.png,patches\mask\001_019.png,0,1,139.66,116.75,66.12
1,patches\real\001_020.png,patches\mask\001_020.png,0,1,140.37,117.43,66.54
1,patches\real\001_021.png,patches\mask\001_021.png,0,1,140.05,116.73,65.81
1,patches\real\001_022.png,patches\mask\001_022.png,0,1,140.39,117.23,66.19
1,patches\real\001_023.png,patches\mask\001_023.png,0,1,139.96,116.42,65.58
1,patches\real\001_024.png,patches\mask\001_024.png,0,1,139.1,115.02,64.49
1,patches\real\001_025.png,patches\mask\001_025.png,0,1,138.88,115.0,64.01
1,patches\real\001_026.png,patches\mask\001_026.png,0,1,138.52,114.35,63.73
1,patches\real\001_027.png,patches\mask\001_027.png,0,1,138.28,114.04,63.71
1,patches\real\001_028.png,patches\mask\001_028.png,0,1,128.49,103.78,55.86
1,patches\real\001_029.png,patches\mask\001_029.png,0,1,118.04,94.48,54.07
1,patches\real\001_030.png,patches\mask\001_030.png,0,1,109.99,92.31,66.06
1,patches\real\001_031.png,patches\mask\001_031.png,0,0,124.86,115.98,102.88
1,patches\real\001_032.png,patches\mask\001_032.png,0,1,139.72,116.14,65.33
