image_id,image_patch,mask_patch,label_vrai,label_rgb,moyenne_R,moyenne_G,moyenne_B
1,patches\real\001_000.png,patches\mask\001_000.png,0,0,172.67,202.46,183.27
1,patches\real\001_001.png,patches\mask\001_001.png,0,0,175.1,206.82,186.96
1,patches\real\001_002.png,patches\mask\001_002.png,0,0,177.46,211.2,192.67
1,patches\real\001_003.png,patches\mask\001_003.png,0,0,176.85,209.69,192.9
1,patches\real\001_004.png,patches\mask\001_004.png,0,0,126.82,145.77,132.48
1,patches\real\001_005.png,patches\mask\001_005.png,0,0,94.33,105.4,93.02
1,patches\real\001_006.png,patches\mask\001_006.png,0,0,99.48,111.05,96.01
1,patches\real\001_007.png,patches\mask\001_007.png,0,0,105.1,117.91,101.73
1,patches\real\001_008.png,patches\mask\001_008.png,0,0,91.96,102.03,88.54
1,patches\real\001_009.png,patches\mask\001_009.png,0,0,80.71,88.99,78.41
1,patches\real\001_010.png,patches\mask\001_010.png,0,0,88.0,99.29,89.53
1,patches\real\001_011.png,patches\mask\001_011.png,0,0,115.98,133.88,122.11
1,patches\real\001_012.png,patches\mask\001_012.png,0,0,176.6,208.19,192.58
1,patches\real\001_013.png,patches\mask\001_013.png,0,0,184.16,220.57,203.28
1,patches\real\001_014.png,patches\mask\001_014.png,0,0,181.49,217.21,199.76
1,patches\real\001_015.png,patches\mask\001_015.png,0,0,173.81,208.48,194.17
1,patches\real\001_016.png,patches\mask\001_016.png,0,0,184.62,220.12,203.32
1,patches\real\001_017.png,patches\mask\001_017.png,0,0,187.38,224.07,208.32
1,patches\real\001_018.png,patches\mask\001_018.png,0,0,184.37,220.93,207.99
1,patches\real\001_019.png,patches\mask\001_019.png,0,0,85.36,95.98,87.06
1,patches\real\001_020.png,patches\mask\001_020.png,0,0,32.25,34.83,30.94
1,patches\real\001_021.png,patches\mask\001_021.png,0,0,28.95,32.55,30.52
1,patches\real\001_022.png,patches\mask\001_022.png,0,0,18.46,23.86,24.96
1,patches\real\001_023.png,patches\mask\001_023.png,0,0,18.95,24.77,25.54
1,patches\real\001_024.png,patches\mask\001_024.png,0,0,26.21,30.17,28.82
1,patches\real\001_025.png,patches\mask\001_025.png,0,0,29.74,33.35,31.07
1,patches\real\001_026.png,patches\mask\001_026.png,0,0,28.07,32.56,30.75
1,patches\real\001_027.png,patches\mask\001_027.png,0,0,28.35,32.58,29.64
1,patches\real\001_028.png,patches\mask\001_028.png,0,0,68.97,75.92,68.03
1,patches\real\001_029.png,patches\mask\001_029.png,0,0,180.64,212.78,203.44
1,patches\real\001_030.png,patches\mask\001_030.png,0,0,193.44,229.18,220.51
1,patches\real\001_031.png,patches\mask\001_031.png,0,0,184.93,223.87,214.49
1,patches\real\001_032.png,patches\mask\001_032.png,0,0,196.52,229.8,223.33
1,patches\real\001_033.png,patches\mask\001_033.png,0,0,188.55,220.84,215.09
1,patches\real\001_034.png,patches\mask\001_034.png,0,0,77.87,88.76,82.2
1,patches\real\001_035.png,patches\mask\001_035.png,0,0,24.6,29.18,28.57
1,patches\real\001_036.png,patches\mask\001_036.png,0,0,23.19,28.25,28.12
1,patches\real\001_037.png,patches\mask\001_037.png,0,0,23.72,28.73,28.88
1,patches\real\001_038.png,patches\mask\001_038.png,0,0,17.87,23.39,25.34
1,patches\real\001_039.png,patches\mask\001_039.png,0,0,16.23,21.92,24.49
1,patches\real\001_040.png,patches\mask\001_040.png,0,0,19.35,24.44,25.61
1,patches\real\001_041.png,patches\mask\001_041.png,0,0,24.14,29.32,28.94
1,patches\real\001_042.png,patches\mask\001_042.png,0,0,23.78,29.0,28.95
1,patches\real\001_043.png,patches\mask\001_043.png,0,0,24.07,29.48,28.54
1,patches\real\001_044.png,patches\mask\001_044.png,0,0,25.94,30.79,28.88
1,patches\real\001_045.png,patches\mask\001_045.png,0,0,58.77,64.26,58.16
1,patches\real\001_046.png,patches\mask\001_046.png,0,0,176.54,202.7,198.78
1,patches\real\001_047.png,patches\mask\001_047.png,0,0,194.05,229.32,228.21
1,patches\real\001_048.png,patches\mask\001_048.png,0,0,205.72,229.89,229.91
1,patches\real\001_049.png,patches\mask\001_049.png,0,0,122.33,139.01,133.66
