image_id,image_patch,mask_patch,label
001,patches\real\001_000.png,patches\mask\001_000.png,0
001,patches\real\001_001.png,patches\mask\001_001.png,0
001,patches\real\001_002.png,patches\mask\001_002.png,0
001,patches\real\001_003.png,patches\mask\001_003.png,0
001,patches\real\001_004.png,patches\mask\001_004.png,0
001,patches\real\001_005.png,patches\mask\001_005.png,0
001,patches\real\001_006.png,patches\mask\001_006.png,0
001,patches\real\001_007.png,patches\mask\001_007.png,0
001,patches\real\001_008.png,patches\mask\001_008.png,0
001,patches\real\001_009.png,patches\mask\001_009.png,0
001,patches\real\001_010.png,patches\mask\001_010.png,0
001,patches\real\001_011.png,patches\mask\001_011.png,0
001,patches\real\001_012.png,patches\mask\001_012.png,0
001,patches\real\001_013.png,patches\mask\001_013.png,0
001,patches\real\001_014.png,patches\mask\001_014.png,0
001,patches\real\001_015.png,patches\mask\001_015.png,0
001,patches\real\001_016.png,patches\mask\001_016.png,0
001,patches\real\001_017.png,patches\mask\001_017.png,0
001,patches\real\001_018.png,patches\mask\001_018.png,0
001,patches\real\001_019.png,patches\mask\001_019.png,0
001,patches\real\001_020.png,patches\mask\001_020.png,0
001,patches\real\001_021.png,patches\mask\001_021.png,0
001,patches\real\001_022.png,patches\mask\001_022.png,0
001,patches\real\001_023.png,patches\mask\001_023.png,0
001,patches\real\001_024.png,patches\mask\001_024.png,0
001,patches\real\001_025.png,patches\mask\001_025.png,0
001,patches\real\001_026.png,patches\mask\001_026.png,0
001,patches\real\001_027.png,patches\mask\001_027.png,0
001,patches\real\001_028.png,patches\mask\001_028.png,0
001,patches\real\001_029.png,patches\mask\001_029.png,0
001,patches\real\001_030.png,patches\mask\001_030.png,0
001,patches\real\001_031.png,patches\mask\001_031.png,0
001,patches\real\001_032.png,patches\mask\001_032.png,0
001,patches\real\001_033.png,patches\mask\001_033.png,0
001,patches\real\001_034.png,patches\mask\001_034.png,0
001,patches\real\001_035.png,patches\mask\001_035.png,0
